Created Date,Cut Off At,Fakultas Text,Fakultas Tujuan Text,Id,Jenis Program Text,Jenjang,Jk,Nama Mhs,Negara Tujuan Text,Nim,Prodi Text,Tgl Mulai,Tgl Selesai,Tipe Text,Univ Tujuan Text,Verified
2019-07-09 18:49:00.000,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,Malaysia,13193,,S1,,Himmalia Rahmadanti Pramudia  ,Malaysia,0330100816,SISTEM INFORMASI,2019-04-29,2019-04-29,PT,Universiti Teknologi Malaysia,Ya
2022-11-10 09:10:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,CRACOW UNIVERSITY OF ECONOMIC,8554,Exchange Program,S3,,Asyaro PASCA AINUL  ,Poland,0473080419,ILMU AKUNTANSI,2022-10-03,2022-10-09,PT,Cracow University of Economics,Ya
2022-12-27 15:57:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,-,8048,Exchange Program,Profesi,,Syahriar Chandra   ,Switzerland,0430370521,PENDIDIKAN PROFESI APOTEKER,2022-02-27,2022-02-27,PT,Massive Open Online Course (MOOC) World Health Organization (WHO) ??? Covid-19 Vaccine Specific-resources,Ya
2022-07-05 13:34:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Faculty of Economic and Management,9055,Exchange Program,S3,,Husnul Atsiilah Chrisna  ,Turkey,0773050420,ILMU EKONOMI ISLAM,2022-06-14,2022-06-24,PT,KTO Karatay University,Ya
2020-03-16 10:12:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Hewan,veterinary medicine,13525,Internship,S1,,HANSEL Tusholecha Wibawa  ,Malaysia,0332680617,KEDOKTERAN HEWAN,2020-01-20,2020-01-24,PT,Selangor Turft Club Equine Hospital,Ya
2019-12-16 12:09:00.000,2023-07-31 11:48:43.5926,Fakultas Keperawatan,Fakulti perubatan,13434,Exchange Program,S3,,Brilliani Indrawan   ,Malaysia,1730211318,KEPERAWATAN,2019-11-03,2019-11-15,PT,University of Malaya,Ya
2018-10-24 07:20:00.000,2023-07-31 11:48:43.5926,Fakultas Vokasi,UITM Kampus Puncak Perdana Sesyen Shah Alam Selangor,11258,,D3,,Nurdianti Asy`ari   ,Malaysia,1130101516,PERPUSTAKAAN,2018-07-09,2018-12-24,FT,UITM Kampus Puncak Perdana Sesyen Shah Alam Selangor,Ya
2021-11-03 08:49:00.000,2023-07-31 11:48:43.5926,Fakultas Teknologi Maju dan Multidisiplin,-,15215,Competition,S1,,Chusen Germia Dyah  ,Malaysia,1330451620,TEKNIK ELEKTRO,2021-01-01,2021-01-01,PT,University of Malaya,Ya
2016-09-28 10:29:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,-,9206,,S1,,INCHA SANDI Rifanti  ,Hong Kong (SAR),0310930414,EKONOMI ISLAM,2016-11-25,2016-11-25,PT,The University of Hong Kong,Ya
2019-07-11 19:40:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,13051,,S1,,JOHAR Rahmadhani Argarini  ,Maroko,0331310416,EKONOMI ISLAM,2019-07-08,2019-07-19,PT,"NIMAR, Rabat",Ya
